total_time,total_servers,total_customers,customer_rate,server_rate,actual_customer_rate,actual_server_rate,average_wait_time
1,1,5,5.8000,6.0000,5.0000,6.0371,10.2703
1,2,5,5.8000,6.0000,5.0000,5.9380,1.2011
2,1,11,5.8000,6.0000,5.5000,6.1234,16.9761
2,2,11,5.8000,6.0000,5.5000,5.9463,1.8613
5,1,28,5.8000,6.0000,5.6000,5.9738,31.9719
5,2,29,5.8000,6.0000,5.8000,6.0907,2.5587
10,1,57,5.8000,6.0000,5.7000,6.1170,40.8613
10,2,57,5.8000,6.0000,5.7000,6.0371,2.7530
20,1,117,5.8000,6.0000,5.8500,5.9347,63.7869
20,2,117,5.8000,6.0000,5.8500,5.9396,2.8966
50,1,290,5.8000,6.0000,5.8000,6.0542,104.0981
50,2,287,5.8000,6.0000,5.7400,6.0275,2.6267
100,1,574,5.8000,6.0000,5.7400,5.9812,128.9742
100,2,572,5.8000,6.0000,5.7200,5.9273,2.8618
200,1,1165,5.8000,6.0000,5.8250,6.0437,144.8334
200,2,1193,5.8000,6.0000,5.9650,6.1442,3.0362
500,1,2862,5.8000,6.0000,5.7240,6.0253,228.4646
500,2,2863,5.8000,6.0000,5.7260,6.0819,2.6606
1000,1,5872,5.8000,6.0000,5.8720,5.8481,282.7044
1000,2,5762,5.8000,6.0000,5.7620,6.0092,3.0753
2000,1,11474,5.8000,6.0000,5.7370,5.9005,232.9469
2000,2,11596,5.8000,6.0000,5.7980,6.0198,3.2873
5000,1,29076,5.8000,6.0000,5.8152,6.0532,247.1410
5000,2,28843,5.8000,6.0000,5.7686,6.0355,2.9428
10000,1,57657,5.8000,6.0000,5.7657,5.9978,242.8045
10000,2,57847,5.8000,6.0000,5.7847,5.9897,3.0768
20000,1,116304,5.8000,6.0000,5.8152,5.9849,336.7275
20000,2,115679,5.8000,6.0000,5.7839,5.9649,3.0951
50000,1,289569,5.8000,6.0000,5.7914,5.9985,241.0709
50000,2,289342,5.8000,6.0000,5.7868,6.0190,3.0070
100000,1,579644,5.8000,6.0000,5.7964,6.0088,273.6865
100000,2,581694,5.8000,6.0000,5.8169,6.0097,3.0546
200000,1,1160471,5.8000,6.0000,5.8024,6.0018,279.6137
200000,2,1159936,5.8000,6.0000,5.7997,6.0030,3.0608
500000,1,2902115,5.8000,6.0000,5.8042,5.9994,305.4403
500000,2,2900838,5.8000,6.0000,5.8017,6.0000,3.0508
1000000,1,5797207,5.8000,6.0000,5.7972,6.0032,285.2141
1000000,2,5799498,5.8000,6.0000,5.7995,6.0030,3.0383
